  Current Time (s),Current Time (years),Pore Volume,Phase1-S11- Volume rate,Phase2-S11- Volume rate,Phase1-S11- Cumulative production,Phase2-S11- Cumulative production,Phase1-S11- Averaged PhaseVolumeFraction,Phase2-S11- Averaged PhaseVolumeFraction,Phase1-S11- Averaged Density,Phase2-S11- Averaged Density
 0.24547669862E-01,0.77840150501E-09,0.30430818085E+01,0.17677665067E-06,0.70710660257E+00,0.43394548424E-08,0.17357819368E-01,0.20000000003E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.27102436848E-01,0.85941263471E-09,0.30430818085E+01,0.17677665062E-06,0.70710660235E+00,0.47910779933E-08,0.19164311971E-01,0.20000000003E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.29912680533E-01,0.94852487737E-09,0.30430818085E+01,0.17677665078E-06,0.70710660299E+00,0.52878634598E-08,0.21151453837E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.33003948586E-01,0.10465483443E-08,0.30430818085E+01,0.17677665136E-06,0.70710660534E+00,0.58343274747E-08,0.23337309896E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.36404343445E-01,0.11543741579E-08,0.30430818085E+01,0.17677665126E-06,0.70710660494E+00,0.64354378908E-08,0.25741751560E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.40144777789E-01,0.12729825529E-08,0.30430818085E+01,0.17677665126E-06,0.70710660490E+00,0.70966593484E-08,0.28386637390E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.44259255568E-01,0.14034517874E-08,0.30430818085E+01,0.17677665124E-06,0.70710660484E+00,0.78240029518E-08,0.31296011803E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.48785181125E-01,0.15469679454E-08,0.30430818085E+01,0.17677665123E-06,0.70710660481E+00,0.86240809154E-08,0.34496323657E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.53763699237E-01,0.17048357191E-08,0.30430818085E+01,0.17677665124E-06,0.70710660483E+00,0.95041666755E-08,0.38016666697E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.59240069161E-01,0.18784902702E-08,0.30430818085E+01,0.17677665124E-06,0.70710660483E+00,0.10472261012E-07,0.41889044041E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
